frame,t,x,y,v,a,jerk,jounce
213,7.1,527.0,787.0,3511.5954514430423,52391.384776444196,-11806.988399803733,22694855.624236435
214,7.133333333333333,533.0,785.0,1878.1866251527858,102177.00604316787,752215.8142342801,5962906.554987481
215,7.166666666666667,547.0,785.0,3543.4401274229153,102539.1057253962,385720.1152660284,151217.28858004417
216,7.2,501.0,1349.0,5219.473607987797,127891.68039423642,762296.9668062832,5640256.035694098
217,7.233333333333333,566.0,785.0,5216.174354261071,153358.90351248177,761737.1843123017,-11467699.930948444
218,7.266666666666667,569.0,785.0,5216.70798634749,178674.1593483899,-2216.3619236128666,-11498638.829181775
219,7.3,501.0,1349.0,6858.081620151313,153211.14605090756,-4838.737633149957,-37573.05682755262
220,7.333333333333333,550.0,785.0,5210.828117881183,178351.5768395132,-4721.232378782964,-11408107.57369164
221,7.366666666666666,536.0,785.0,5199.671034558293,152896.39722565535,-765379.2425459258,-11309902.490740642
222,7.3999999999999995,501.0,1349.0,5214.671034558293,127326.29400311815,-758714.7317614923,5657925.21324264
223,7.433333333333334,517.0,785.0,3576.416186460227,102315.41510822254,-388184.2283297499,5514763.837297521
224,7.466666666666667,497.0,785.0,1977.0425526564043,101447.34544780149,-391063.8092749909,11035268.765442165
225,7.5,493.0,785.0,3604.6273679744104,76244.49448988981,347500.35603306105,22514124.094314132
226,7.533333333333333,478.0,785.0,3609.0496690653504,124614.03585000557,1109877.7970126178,10309143.030373516
227,7.566666666666666,460.0,785.0,5094.104581391823,150236.34762406434,1034776.558057962,-6721870.814133063
228,7.6,53.0,1152.0,6743.495509637751,193599.13972053636,661753.0760704137,-9575671.16894811
229,7.633333333333333,501.0,1349.0,8350.461804732704,194353.2193620919,396398.48012808815,-14852429.556420308
230,7.666666666666667,421.0,786.0,6764.922433530014,220025.70506240893,-328408.89435760677,-18926768.542880174
231,7.7,420.0,786.0,6783.686427487837,172459.2930715848,-865386.0893972568,-3459469.485323434
232,7.733333333333333,501.0,1349.0,5320.354511272244,162333.2991025918,-559040.1933791691,9173921.81309438
233,7.766666666666667,387.0,785.0,4871.350158427851,135189.94684630685,-253791.30185763148,6837137.562491419
234,7.8,372.0,792.0,4363.762768354178,145413.87897874968,-103231.02254640775,7861124.425708813
